ID Number,Name,Year Level,Gender,Course Code,Enrollment Status
2022-0025,Gio Kiefer A. Sanchez,2,Man,BSCS,Enrolled
2023-3202,Palindro M. Emordnilap,1,Man,,Not Enrolled
2020-0001,Genea O. Ouos,4,Woman,BSNursing,Enrolled
2022-5619,Lavigne Kaye S. Sistona,2,Woman,BSNursing,Enrolled
2024-0001,Reynaldo R. Ramos,2,Man,BSCS,Enrolled
2024-0002,Joyce Anne P. Reyes,1,Woman,BSNursing,Enrolled
2024-0003,Marlon C. Cruz,3,Man,BSIT,Enrolled
2024-0004,Angelica S. Santos,4,Woman,BSCA,Enrolled
2024-0005,Edgar B. Balagtas,2,Man,BSBio,Enrolled
2024-0006,Jennifer M. Marquez,1,Woman,BSPsych,Enrolled
2024-0007,Jose R. Rodriguez,2,Man,BSNursing,Enrolled
2024-0008,Maricar G. Gonzales,3,Woman,BSCS,Enrolled
2024-0009,Ernesto L. Lim,4,Man,BSIT,Enrolled
2024-0010,Rosalinda T. Tan,1,Woman,BSCA,Enrolled
2024-0011,Alfredo D. Dominguez,2,Man,BSBio,Enrolled
2024-0012,Lorna P. Perez,3,Woman,BSPsych,Enrolled
2024-0013,Ramon M. Magbanua,4,Man,BSNursing,Enrolled
2024-0014,Michelle D. Dela Cruz,1,Woman,BSCS,Enrolled
2024-0015,Alberto S. Santiago,2,Man,BSIT,Enrolled
2024-0016,Carmela F. Flores,3,Woman,BSCA,Enrolled
2024-0017,Nestor C. Cruz,4,Man,BSBio,Enrolled
2024-0018,Leah G. Garcia,1,Woman,BSPsych,Enrolled
2024-0019,Manuel S. Santos,2,Man,BSNursing,Enrolled
2024-0020,Angelica M. Miranda,3,Woman,BSCS,Enrolled
2024-0021,Andres M. Martinez,4,Man,BSIT,Enrolled
2024-0022,Ana P. Panaligan,1,Woman,BSCA,Enrolled
2024-0023,Josefina G. Gutierrez,2,Woman,BSBio,Enrolled
2024-0024,Luis R. Reyes,3,Man,BSPsych,Enrolled
2024-0025,Gio Kiefer A. Sanchez,2,Man,BSNursing,Enrolled
2024-0026,Maria Cristina L. Lim,1,Woman,BSCS,Enrolled
